City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,22.64,91,100,4.12,US,1697300478
1,bredasdorp,-34.5322,20.0403,16.41,78,83,9.67,ZA,1697300479
2,hamilton,39.1834,-84.5333,17.1,81,100,6.17,US,1697300214
3,badger,64.8,-147.5333,-2.02,88,100,1.54,US,1697300016
4,bilibino,68.0546,166.4372,-10.58,97,100,0.98,RU,1697299995
5,wynyard,-41.0,145.7167,7.19,71,20,4.26,AU,1697300480
6,alofi,-19.0595,-169.9187,21.94,94,26,2.06,NU,1697300481
7,pechora,65.1472,57.2244,1.59,67,100,6.71,RU,1697300421
8,tuapse,44.1125,39.0742,14.71,60,0,1.47,RU,1697300481
9,safford,32.834,-109.7076,23.4,31,0,4.63,US,1697300482
10,waitangi,-43.9535,-176.5597,12.68,93,23,2.68,NZ,1697300482
11,papao,-17.75,-149.55,22.82,73,69,5.8,PF,1697300483
12,grytviken,-54.2811,-36.5092,-1.88,78,33,9.49,GS,1697300483
13,thompson,55.7435,-97.8558,9.09,81,20,2.57,CA,1697300484
14,lebu,-37.6167,-73.65,12.5,70,98,7.49,CL,1697300484
15,ilulissat,69.2167,-51.1,-1.99,80,100,9.26,GL,1697300485
16,albany,42.6001,-73.9662,12.87,71,100,1.04,US,1697300485
17,adamstown,-25.066,-130.1015,19.99,73,97,2.87,PN,1697300485
18,new norfolk,-42.7826,147.0587,7.72,78,24,2.52,AU,1697300486
19,prince rupert,54.3161,-130.3201,12.05,89,75,9.26,CA,1697300486
20,puerto natales,-51.7236,-72.4875,13.25,47,20,12.35,CL,1697300487
21,porto franco,-6.3383,-47.3992,38.95,24,26,2.19,BR,1697300487
22,uturoa,-16.7333,-151.4333,25.86,73,11,6.12,PF,1697300488
23,brokopondo,4.75,-55.1667,33.61,46,58,1.0,SR,1697300488
24,bethel,41.3712,-73.414,13.58,83,100,2.06,US,1697300488
25,east london,-33.0153,27.9116,16.52,88,75,3.6,ZA,1697300489
